STATION,NAME,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/02/2006,0.16,",,0,0700",0,",,0,",0,",,0,",36,",,0",30,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/02/2006,0,",,0,0700",0,",,0,",0,",,0,",36,",,0",30,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/02/2006,0.36,",,0,0700",0,",,0,",0,",,0,",50,",,0",35,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/02/2006,0,"T,,0,0700",0,",,0,",0,",,0,",49,",,0",32,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/02/2006,0.36,",,0,0700",0,",,0,",0,",,0,",48,",,0",35,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/02/2006,0.01,",,0,0700",1,",,0,",1,",,0,",40,",,0",25,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/02/2006,0.06,",,0,0700",1.2,",,0,",2,",,0,",30,",,0",23,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/02/2006,0.11,",,0,0700",1.5,",,0,",4,",,0,",25,",,0",20,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/02/2006,0.03,",,0,0700",0.8,",,0,",4,",,0,",26,",,0",14,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/02/2006,0.03,",,0,0700",0.9,",,0,",4,",,0,",25,",,0",14,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/02/2006,0.07,",,0,0700",0.9,",,0,",4,",,0,",28,",,0",14,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/02/2006,0,"T,,0,0700",0,"T,,0,",3,",,0,",33,",,0",17,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/02/2006,0,",,0,0700",0,",,0,",2,",,0,",25,",,0",14,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/02/2006,0,",,0,0700",0,",,0,",2,",,0,",30,",,0",21,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/02/2006,0,",,0,0700",0,",,0,",2,",,0,",41,",,0",27,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/02/2006,0,",,0,0700",0,",,0,",0,",,0,",55,",,0",29,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/02/2006,0.02,",,0,0700",0,",,0,",0,",,0,",56,",,0",41,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/02/2006,0.01,",,0,0700",0.2,",,0,",0,"T,,0,",52,",,0",14,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/02/2006,0.02,",,0,0700",0.1,",,0,",0,"T,,0,",15,",,0",8,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/02/2006,0,",,0,0700",0,",,0,",0,"T,,0,",23,",,0",8,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/02/2006,0,",,0,0700",0,",,0,",0,",,0,",30,",,0",13,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/02/2006,0,"T,,0,0700",0,"T,,0,",0,"T,,0,",33,",,0",19,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/02/2006,0,",,0,0700",0,",,0,",0,",,0,",45,",,0",26,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/02/2006,0.14,",,0,0700",0.3,",,0,",0,"T,,0,",40,",,0",22,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/02/2006,0,"T,,0,0700",0,"T,,0,",0,"T,,0,",27,",,0",16,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/02/2006,0,"T,,0,0700",0.3,",,0,",1,",,0,",42,",,0",12,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/02/2006,0.01,",,0,0700",0.2,",,0,",1,",,0,",17,",,0",4,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/02/2006,0.04,",,0,0700",1,",,0,",2,",,0,",23,",,0",7,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/03/2006,0,"T,,0,0700",0.3,",,0,",1,",,0,",24,",,0",12,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/03/2006,0,",,0,0700",0,",,0,",0,"T,,0,",29,",,0",10,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/03/2006,0.44,",,0,0700",5.2,",,0,",5,",,0,",24,",,0",15,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/03/2006,0.05,",,0,0700",1.6,",,0,",6,",,0,",21,",,0",13,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/03/2006,0,",,0,0700",0,",,0,",4,",,0,",31,",,0",15,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/03/2006,0,",,0,0700",0,",,0,",3,",,0,",36,",,0",10,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/03/2006,0,",,0,0700",0,",,0,",2,",,0,",31,",,0",7,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/03/2006,0,",,0,0700",0,",,0,",2,",,0,",31,",,0",7,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/03/2006,0.06,",,0,0700",0,",,0,",0,"T,,0,",41,",,0",11,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/03/2006,0.18,",,0,0700",0,",,0,",0,",,0,",55,",,0",36,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/03/2006,0,",,0,0700",0,",,0,",0,",,0,",60,",,0",32,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/03/2006,0,"T,,0,0700",0,",,0,",0,",,0,",54,",,0",39,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/03/2006,0.11,",,0,0700",0,",,0,",0,",,0,",58,",,0",45,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/03/2006,0.75,",,0,0700",0,",,0,",0,",,0,",61,",,0",41,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/03/2006,0,"T,,0,0700",0,"T,,0,",0,",,0,",41,",,0",28,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/03/2006,0,"T,,0,0700",0,",,0,",0,",,0,",36,",,0",28,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/03/2006,0,",,0,0700",0,",,0,",0,",,0,",36,",,0",23,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/03/2006,0,",,0,0700",0,",,0,",0,",,0,",32,",,0",21,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/03/2006,0.03,",,0,0700",0.5,",,0,",1,",,0,",31,",,0",21,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/03/2006,0.03,",,0,0700",0.5,",,0,",2,",,0,",29,",,0",20,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/03/2006,0,"T,,0,0700",0,",,0,",0,"T,,0,",26,",,0",8,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/03/2006,0,"T,,0,0700",0.4,",,0,",0,"T,,0,",31,",,0",21,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/03/2006,0,"T,,0,0700",0,"T,,0,",0,"T,,0,",30,",,0",26,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/03/2006,0,",,0,0700",0,",,0,",0,",,0,",34,",,0",20,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/03/2006,0.11,",,0,0700",0.8,",,0,",1,",,0,",42,",,0",30,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/03/2006,0.05,",,0,0700",0,",,0,",0,",,0,",36,",,0",31,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/03/2006,0,",,0,0700",0,",,0,",0,",,0,",42,",,0",21,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/03/2006,0,",,0,0700",0,",,0,",0,",,0,",48,",,0",24,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/03/2006,0,",,0,0700",0,",,0,",0,",,0,",54,",,0",24,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/03/2006,0,",,0,0700",0,",,0,",0,",,0,",58,",,0",28,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",31/03/2006,0,"P,,0,0700",0,"P,,0,",0,"P,,0,",65,",,0",37,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/04/2006,0.26,",,0,0700",0,",,0,",0,",,0,",76,",,0",51,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/04/2006,0.01,",,0,0700",0,",,0,",0,",,0,",54,",,0",34,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/04/2006,0,",,0,0700",0,",,0,",0,",,0,",54,",,0",33,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/04/2006,0.24,",,0,0700",0,",,0,",0,",,0,",63,",,0",33,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/04/2006,0,",,0,0700",0,",,0,",0,",,0,",42,",,0",21,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/04/2006,0.06,",,0,0700",0,"T,,0,",0,"T,,0,",37,",,0",27,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/04/2006,0,",,0,0700",0,",,0,",0,",,0,",49,",,0",28,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/04/2006,0.39,",,0,0700",0,",,0,",0,",,0,",47,",,0",29,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/04/2006,0,",,0,0700",0,",,0,",0,",,0,",37,",,0",20,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/04/2006,0,",,0,0700",0,",,0,",0,",,0,",47,",,0",24,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/04/2006,0,",,0,0700",0,",,0,",0,",,0,",57,",,0",29,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/04/2006,0,",,0,0700",0,",,0,",0,",,0,",71,",,0",37,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/04/2006,0.06,",,0,0700",0,",,0,",0,",,0,",71,",,0",54,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/04/2006,0,"T,,0,0700",0,",,0,",0,",,0,",65,",,0",42,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/04/2006,0.17,",,0,0700",0,",,0,",0,",,0,",58,",,0",45,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/04/2006,0,",,0,0700",0,",,0,",0,",,0,",64,",,0",41,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/04/2006,0,"T,,0,0700",0,",,0,",0,",,0,",52,",,0",28,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/04/2006,0,",,0,0700",0,",,0,",0,",,0,",55,",,0",30,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/04/2006,0,",,0,0700",0,",,0,",0,",,0,",59,",,0",35,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/04/2006,0,",,0,0700",0,",,0,",0,",,0,",65,",,0",33,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/04/2006,0,",,0,0700",0,",,0,",0,",,0,",71,",,0",36,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/04/2006,0.15,",,0,0700",0,",,0,",0,",,0,",72,",,0",39,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/04/2006,0.32,",,0,0700",0,",,0,",0,",,0,",44,",,0",39,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/04/2006,0.06,",,0,0700",0,",,0,",0,",,0,",57,",,0",42,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/04/2006,0,"T,,0,0700",0,",,0,",0,",,0,",54,",,0",38,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/04/2006,0.06,",,0,0700",0,",,0,",0,",,0,",56,",,0",24,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/04/2006,0,",,0,0700",0,",,0,",0,",,0,",60,",,0",33,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/04/2006,0,",,0,0700",0,",,0,",0,",,0,",56,",,0",25,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/04/2006,0,",,0,0700",0,",,0,",0,",,0,",53,",,0",24,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/04/2006,0,",,0,0700",0,",,0,",0,",,0,",63,",,0",27,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",72,",,0",38,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",73,",,0",33,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",66,",,0",35,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",67,",,0",39,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/05/2006,0,"T,,0,0700",0,"P,,0,",0,"P,,0,",76,",,0",40,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",66,",,0",43,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/05/2006,0.03,",,0,0700",0,"P,,0,",0,"P,,0,",51,",,0",26,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",64,",,0",35,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",71,",,0",44,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",71,",,0",39,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",77,",,0",53,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/05/2006,1.05,",,0,0700",0,"P,,0,",0,"P,,0,",65,",,0",50,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",71,",,0",46,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/05/2006,0.03,",,0,0700",0,"P,,0,",0,"P,,0,",71,",,0",49,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",61,",,0",47,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/05/2006,0.24,",,0,0700",0,"P,,0,",0,"P,,0,",58,",,0",48,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",59,",,0",44,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",66,",,0",47,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/05/2006,0.08,",,0,0700",0,"P,,0,",0,"P,,0,",66,",,0",37,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/05/2006,0.06,",,0,0700",0,"P,,0,",0,"P,,0,",56,",,0",42,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/05/2006,0.1,",,0,0700",0,"P,,0,",0,"P,,0,",56,",,0",37,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/05/2006,0.06,",,0,0700",0,"P,,0,",0,"P,,0,",53,",,0",37,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",49,",,0",37,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",61,",,0",36,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",70,",,0",42,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/05/2006,0.06,",,0,0700",0,"P,,0,",0,"P,,0,",72,",,0",50,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/05/2006,0.62,",,0,0700",0,"P,,0,",0,"P,,0,",70,",,0",57,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",28/05/2006,0.02,",,0,0700",0,"P,,0,",0,"P,,0,",64,",,0",47,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",29/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",80,",,0",50,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",30/05/2006,0.1,",,0,0700",0,"P,,0,",0,"P,,0,",87,",,0",58,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",31/05/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",91,",,0",64,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",1/06/2006,0.52,",,0,0700",0,"P,,0,",0,"P,,0,",89,",,0",64,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",2/06/2006,0.94,",,0,0700",0,"P,,0,",0,"P,,0,",79,",,0",58,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",3/06/2006,0.87,",,0,0700",0,"P,,0,",0,"P,,0,",70,",,0",53,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",4/06/2006,0.27,",,0,0700",0,"P,,0,",0,"P,,0,",57,",,0",53,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",5/06/2006,0.15,",,0,0700",0,"P,,0,",0,"P,,0,",60,",,0",48,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",6/06/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",74,",,0",43,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",7/06/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",74,",,0",51,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",8/06/2006,0.11,",,0,0700",0,"P,,0,",0,"P,,0,",70,",,0",55,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",9/06/2006,0.1,",,0,0700",0,"P,,0,",0,"P,,0,",61,",,0",55,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",10/06/2006,0.41,",,0,0700",0,"P,,0,",0,"P,,0,",65,",,0",45,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",11/06/2006,0.06,",,0,0700",0,"P,,0,",0,"P,,0,",58,",,0",45,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",12/06/2006,0.01,",,0,0700",0,"P,,0,",0,"P,,0,",60,",,0",47,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",13/06/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",63,",,0",51,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",14/06/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",73,",,0",52,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",15/06/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",73,",,0",46,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",16/06/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",74,",,0",46,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",17/06/2006,0.02,",,0,0700",0,"P,,0,",0,"P,,0,",81,",,0",55,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",18/06/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",89,",,0",59,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",19/06/2006,0,",,0,0700",0,"P,,0,",0,"P,,0,",90,",,0",68,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",20/06/2006,0.71,",,0,0700",0,"P,,0,",0,"P,,0,",79,",,0",60,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",21/06/2006,0,"T,,0,0700",0,"P,,0,",0,"P,,0,",76,",,0",48,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",22/06/2006,0,"T,,0,0700",0,"P,,0,",0,"P,,0,",78,",,0",56,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",23/06/2006,0.01,",,0,0700",0,"P,,0,",0,"P,,0,",85,",,0",65,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",24/06/2006,0.18,",,0,0700",0,"P,,0,",0,"P,,0,",77,",,0",63,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",25/06/2006,0.01,",,0,0700",0,"P,,0,",0,"P,,0,",81,",,0",60,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",26/06/2006,1.18,",,0,0700",0,"P,,0,",0,"P,,0,",75,",,0",64,",,0",,
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",27/06/2006,1.07,",,0,0700",0,"P,,0,",0,"P,,0,",78,",,0",66,",,0",,
